record_id,customer_id,payment_id,customer_payment_count,customer_success_rate,customer_previous_failures,payment_amount,currency,payment_method,failure_reason,attempt_number,hours_since_failure,action_taken,previous_action,previous_attempt_count,recovered,amount_recovered,recovery_time_hours
rec_b1cbc263f0b0e7,cust_4499d0a61500,pay_20e4dbfe470367,2,0.923,0,6798.14,INR,upi,insufficient_funds,1,1.33,REMINDER,,0,False,0.0,0.0
rec_610256376f0230,cust_c36b9a0a41e0,pay_44f760a8bb9095,22,0.883,3,38478.12,INR,card,insufficient_funds,1,1.35,REMINDER,,0,True,38478.12,1.78
rec_608d4b5419130b,cust_4d8131f52719,pay_1fe72d214526ed,14,0.418,8,2114.14,INR,upi,insufficient_funds,1,0.27,REMINDER,,0,True,2114.14,2.28
rec_4563cafe8d31df,cust_c82f78fd936c,pay_c8613afa1ae175,42,0.895,4,18678.44,INR,upi,insufficient_funds,1,1.66,REMINDER,,0,False,0.0,0.0
rec_ce5b961f585d40,cust_c82f78fd936c,pay_c8613afa1ae175,42,0.895,4,18678.44,INR,upi,insufficient_funds,2,13.38,ESCALATE,REMINDER,1,True,18678.44,15.75
rec_a3a22f35b9b513,cust_deaf0fa924a6,pay_e1cc233c9838d1,29,0.782,6,7291.76,INR,card,bank_timeout,1,1.08,RETRY,,0,True,7291.76,2.93
rec_d063d3e7ec7ef0,cust_ae38cf4647f8,pay_9bd3f580ad9f83,34,0.762,8,1480.8,INR,upi,insufficient_funds,1,0.99,RETRY,,0,False,0.0,0.0
rec_ceefd2c97e2b73,cust_d03bcbfcdca7,pay_4e3fd50bf28c63,14,0.9,1,1074.66,INR,card,bank_timeout,1,1.49,RETRY,,0,True,1074.66,3.36
rec_b3dd0cfb6ccb6a,cust_3a2516fe8a27,pay_bb15894aeeb47b,9,0.787,2,1592.85,INR,upi,network_error,1,1.11,RETRY,,0,True,1592.85,3.2
rec_e75f58ba86052b,cust_73d92aceb746,pay_a942b4d7bd2dff,10,0.832,2,43287.16,INR,netbanking,authentication_failed,1,1.26,RETRY,,0,False,0.0,0.0
rec_0d08367ef3d5f7,cust_73d92aceb746,pay_a942b4d7bd2dff,10,0.832,2,43287.16,INR,netbanking,authentication_failed,2,6.86,PAYMENT_LINK,RETRY,1,False,0.0,0.0
rec_37abaaf864c460,cust_80499bbf76f6,pay_1cfcdf01f8401e,4,0.905,0,2100.38,INR,netbanking,technical_error,1,1.73,RETRY,,0,True,2100.38,1.79
rec_5ac2a17666edef,cust_a2fba345a84c,pay_0911e215e4b708,63,0.742,16,45913.98,INR,netbanking,bank_timeout,1,0.11,RETRY,,0,True,45913.98,1.02
rec_89534e152ea37b,cust_2e7d952b785b,pay_8772df4a15b1c4,37,0.917,3,629.39,INR,card,authentication_failed,1,0.4,PAYMENT_LINK,,0,True,629.39,1.18
rec_e6a7caf754ca68,cust_59a1120e1bb4,pay_d6e0217ca801f1,11,0.884,1,590.65,INR,upi,bank_timeout,1,1.78,RETRY,,0,True,590.65,2.16
rec_b9dac7798079cd,cust_5c39b57dbc0d,pay_f5aed2e97ab313,15,0.617,6,5392.2,INR,upi,authentication_failed,1,1.62,PAYMENT_LINK,,0,False,0.0,0.0
rec_caef3c9e1b9dff,cust_5c39b57dbc0d,pay_f5aed2e97ab313,15,0.617,6,5392.2,INR,upi,authentication_failed,2,18.4,ESCALATE,PAYMENT_LINK,1,False,0.0,0.0
rec_2709f5b29e1be5,cust_46426c458d03,pay_c4735700037e7f,28,0.36,18,3468.36,INR,netbanking,insufficient_funds,1,1.23,REMINDER,,0,True,3468.36,1.48
rec_304c9c7b2e625a,cust_711c76738535,pay_1d71f339c44842,9,0.742,2,11948.31,INR,card,technical_error,1,0.48,PAYMENT_LINK,,0,False,0.0,0.0
rec_66ba7e5121de23,cust_711c76738535,pay_1d71f339c44842,9,0.742,2,11948.31,INR,card,technical_error,2,18.36,REMINDER,PAYMENT_LINK,1,False,0.0,0.0
rec_0d394b57a4d4df,cust_27b608dc589d,pay_0485742a6d2231,10,0.931,1,3818.42,INR,card,insufficient_funds,1,0.68,PAYMENT_LINK,,0,True,3818.42,1.9
rec_2f51aca66e4ff4,cust_34879e411a9c,pay_59dcbe0ff1685d,1,0.938,0,5222.72,INR,netbanking,bank_timeout,1,0.1,RETRY,,0,True,5222.72,0.84
rec_3cfe18e95f20ac,cust_d5759337549c,pay_1c8d23b44dea52,16,0.708,5,237.25,INR,upi,technical_error,1,0.73,RETRY,,0,False,0.0,0.0
rec_a12ac11c21677d,cust_d5759337549c,pay_1c8d23b44dea52,16,0.708,5,237.25,INR,upi,technical_error,2,13.13,PAYMENT_LINK,RETRY,1,False,0.0,0.0
rec_b884590288973a,cust_50ee7a92a091,pay_e9846baaf7e47c,10,0.875,1,10356.68,INR,card,insufficient_funds,1,0.29,REMINDER,,0,True,10356.68,1.5
rec_7b9a21c4115558,cust_4f11d8dc5cd3,pay_b62b9f628ced48,9,0.819,2,2654.81,INR,netbanking,payment_method_issue,1,1.95,PAYMENT_LINK,,0,False,0.0,0.0
rec_462e9af3996222,cust_4f11d8dc5cd3,pay_b62b9f628ced48,9,0.819,2,2654.81,INR,netbanking,payment_method_issue,2,10.65,STOP,PAYMENT_LINK,1,False,0.0,0.0
rec_6257ae9c826011,cust_19474d1a63d3,pay_0ba24c4f4a26eb,12,0.708,4,14311.03,INR,wallet,bank_timeout,1,1.65,RETRY,,0,True,14311.03,1.88
